Pages,Language,Price,Price_per_page,Gift
324,English,7.55,0.02330246913580247,No
374,English,8.5,0.022727272727272728,No
385,English,7.99,0.020753246753246753,No
342,English,9.99,0.029210526315789475,Yes
404,English,11.0,0.027227722772277228,Yes
369,English,9.99,0.027073170731707317,Yes
482,German,9.99,0.020726141078838176,No
439,German,10.5,0.023917995444191344,No
399,German,9.5,0.023809523809523808,No
400,German,10.0,0.025,No
430,German,10.0,0.023255813953488372,No
348,English,12.99,0.03732758620689655,Yes
292,English,12.99,0.044486301369863014,Yes
295,English,16.0,0.05423728813559322,Yes
369,English,8.99,0.024363143631436313,No
268,German,8.99,0.033544776119402986,Yes
399,German,10.99,0.027543859649122808,Yes
495,German,10.99,0.022202020202020202,No
525,German,10.99,0.020933333333333335,No
510,German,10.99,0.021549019607843136,No
543,German,10.99,0.02023941068139963,No
828,German,10.99,0.013272946859903382,No
439,German,10.99,0.025034168564920273,No
458,German,10.99,0.023995633187772925,No
456,German,10.99,0.024100877192982456,No
645,English,8.49,0.013162790697674419,No
636,English,8.49,0.013349056603773585,No
689,English,8.49,0.012322206095791002,No
763,English,8.99,0.011782437745740499,No
671,English,13.95,0.020789865871833083,No
757,English,13.95,0.01842800528401585,No
681,English,13.95,0.020484581497797357,Yes
621,German,12.0,0.01932367149758454,No
585,German,12.0,0.020512820512820513,No
638,German,12.0,0.018808777429467086,No
621,German,12.0,0.01932367149758454,Yes
651,German,12.0,0.018433179723502304,Yes
584,German,10.0,0.017123287671232876,No
650,German,10.0,0.015384615384615385,No
666,German,16.99,0.02551051051051051,No
553,German,10.0,0.018083182640144666,No
587,German,16.99,0.02894378194207836,Yes
483,English,7.55,0.015631469979296066,No
502,English,7.55,0.015039840637450199,No
640,English,7.99,0.012484375,No
300,English,16.0,0.05333333333333334,Yes
241,English,12.0,0.04979253112033195,Yes
279,English,8.29,0.029713261648745517,Yes
136,English,9.99,0.07345588235294118,Yes
320,English,16.99,0.053093749999999995,Yes
334,English,16.99,0.050868263473053885,Yes
341,English,8.89,0.026070381231671557,Yes
118,English,8.69,0.07364406779661016,Yes
435,English,7.49,0.0172183908045977,No
594,English,7.59,0.012777777777777777,No
407,English,8.89,0.021842751842751845,Yes
228,English,7.99,0.03504385964912281,Yes
160,German,10.0,0.0625,Yes
910,German,12.99,0.014274725274725276,No
822,German,14.99,0.018236009732360097,Yes
624,German,10.99,0.017612179487179486,No
780,German,12.99,0.016653846153846154,No
509,German,10.99,0.021591355599214147,No
479,German,11.99,0.025031315240083507,No
349,German,9.99,0.028624641833810888,Yes
534,English,9.69,0.018146067415730337,No
175,English,9.99,0.05708571428571429,Yes
261,English,14.0,0.05363984674329502,Yes
567,German,12.0,0.021164021164021163,No
540,German,17.95,0.03324074074074074,Yes
556,German,12.0,0.02158273381294964,No
538,German,14.99,0.027862453531598514,No
670,German,14.99,0.022373134328358208,No
600,German,14.99,0.024983333333333333,No
478,German,18.99,0.03972803347280334,Yes
510,German,16.95,0.03323529411764706,No
222,German,8.0,0.036036036036036036,Yes
383,German,16.95,0.04425587467362924,Yes
395,German,16.95,0.04291139240506329,Yes
502,German,16.95,0.03376494023904383,Yes
525,German,16.95,0.032285714285714286,No
457,German,16.95,0.03708971553610503,No
525,German,16.95,0.032285714285714286,No
317,English,16.99,0.053596214511041004,Yes
742,English,9.99,0.013463611859838276,No
456,English,6.99,0.015328947368421053,No
342,English,8.89,0.02599415204678363,Yes
208,English,16.99,0.0816826923076923,Yes
228,English,16.99,0.07451754385964912,Yes
174,English,16.99,0.09764367816091953,Yes
215,English,16.99,0.07902325581395347,Yes
213,English,16.99,0.07976525821596243,Yes
180,English,16.99,0.09438888888888888,Yes
324,English,8.19,0.025277777777777777,No
859,English,9.39,0.010931315483119907,No
204,English,8.99,0.04406862745098039,Yes
376,English,8.99,0.02390957446808511,No
374,English,9.0,0.02406417112299465,No
518,English,8.0,0.015444015444015444,No
249,English,8.19,0.03289156626506024,Yes
432,English,8.49,0.01965277777777778,No
58,English,4.99,0.08603448275862069,Yes
574,German,11.0,0.01916376306620209,No
590,German,11.0,0.01864406779661017,No
574,German,11.0,0.01916376306620209,No
589,German,9.95,0.016893039049235992,No
606,German,9.95,0.01641914191419142,No
590,German,9.95,0.016864406779661015,No
335,English,10.8,0.032238805970149255,No
286,German,8.0,0.027972027972027972,Yes
88,English,7.0,0.07954545454545454,Yes
105,English,9.19,0.08752380952380952,Yes
135,English,11.91,0.08822222222222223,Yes
398,English,16.99,0.04268844221105527,Yes
276,English,8.49,0.030760869565217393,Yes
320,English,8.49,0.02653125,Yes
361,English,6.99,0.019362880886426594,No
279,English,11.99,0.04297491039426524,Yes
432,German,8.95,0.02071759259259259,No
334,German,8.99,0.02691616766467066,No
